"year","week","reports","biweek"
1948,48,284,128
1948,50,356,129
1948,52,404,130
1949,2,638,131
1949,4,844,132
1949,6,1305,133
1949,8,1608,134
1949,10,2115,135
1949,12,2505,136
1949,14,3240,137
1949,16,3334,138
1949,18,2711,139
1949,20,2213,140
1949,22,2036,141
1949,24,1709,142
1949,26,1327,143
1949,28,1013,144
1949,30,682,145
1949,32,496,146
1949,34,278,147
1949,36,158,148
1949,38,92,149
1949,40,68,150
1949,42,77,151
1949,44,96,152
1949,46,51,153
1949,48,59,154
1949,50,60,155
1949,52,79,156
1950,2,97,157
1950,4,60,158
1950,6,80,159
1950,8,116,160
1950,10,135,161
1950,12,152,162
1950,14,209,163
1950,16,345,164
1950,18,344,165
1950,20,628,166
1950,22,941,167
1950,24,1142,168
1950,26,1271,169
1950,28,1296,170
1950,30,1181,171
1950,32,1138,172
1950,34,678,173
1950,36,361,174
1950,38,347,175
1950,40,506,176
1950,42,669,177
1950,44,983,178
1950,46,1310,179
1950,48,2037,180
1950,50,2770,181
1950,52,3478,182
1951,2,5178,183
1951,4,4395,184
1951,6,5297,185
1951,8,6924,186
1951,10,6816,187
1951,12,5654,188
1951,14,4443,189
1951,16,2821,190
1951,18,1888,191
1951,20,1582,192
1951,22,1288,193
1951,24,846,194
1951,26,565,195
1951,28,413,196
1951,30,269,197
1951,32,162,198
1951,34,109,199
1951,36,118,200
1951,38,76,201
1951,40,40,202
1951,42,103,203
1951,44,118,204
1951,46,97,205
1951,48,50,206
1951,50,46,207
1951,52,47,208
1952,2,79,209
1952,4,85,210
1952,6,115,211
1952,8,226,212
1952,10,371,213
1952,12,457,214
1952,14,501,215
1952,16,504,216
1952,18,497,217
1952,20,560,218
1952,22,849,219
1952,24,1298,220
1952,26,1353,221
1952,28,1396,222
1952,30,1574,223
1952,32,1870,224
1952,34,1324,225
1952,36,692,226
1952,38,512,227
1952,40,908,228
1952,42,1646,229
1952,44,2346,230
1952,46,2197,231
1952,48,2689,232
1952,50,2892,233
1952,52,2793,234
1953,2,3682,235
1953,4,2891,236
1953,6,3168,237
1953,8,3456,238
1953,10,2992,239
1953,12,2572,240
1953,14,1985,241
1953,16,1464,242
1953,18,788,243
1953,20,650,244
1953,22,566,245
1953,24,498,246
1953,26,318,247
1953,28,217,248
1953,30,145,249
1953,32,117,250
1953,34,49,251
1953,36,46,252
1953,38,29,253
1953,40,22,254
1953,42,32,255
1953,44,43,256
1953,46,39,257
1953,48,32,258
1953,50,29,259
1953,52,10,260
1954,2,31,261
1954,4,23,262
1954,6,35,263
1954,8,62,264
1954,10,74,265
1954,12,89,266
1954,14,112,267
1954,16,160,268
1954,18,143,269
1954,20,119,270
1954,22,110,271
1954,24,176,272
1954,26,175,273
1954,28,312,274
1954,30,316,275
1954,32,249,276
1954,34,186,277
1954,36,120,278
1954,38,167,279
1954,40,284,280
1954,42,389,281
1954,44,539,282
1954,46,471,283
1954,48,663,284
1954,50,1021,285
1954,52,1538,286
1955,2,1795,287
1955,4,1793,288
1955,6,3240,289
1955,8,5096,290
1955,10,6038,291
1955,12,7022,292
1955,14,7192,293
1955,16,5905,294
1955,18,3025,295
1955,20,2025,296
1955,22,1715,297
1955,24,1428,298
1955,26,848,299
1955,28,652,300
1955,30,358,301
1955,32,254,302
1955,34,158,303
1955,36,96,304
1955,38,46,305
1955,40,61,306
1955,42,74,307
1955,44,61,308
1955,46,66,309
1955,48,51,310
1955,50,33,311
1955,52,37,312
1956,2,52,313
1956,4,42,314
1956,6,77,315
1956,8,110,316
1956,10,130,317
1956,12,122,318
1956,14,151,319
1956,16,197,320
1956,18,174,321
1956,20,372,322
1956,22,565,323
1956,24,599,324
1956,26,654,325
1956,28,634,326
1956,30,650,327
1956,32,483,328
1956,34,431,329
1956,36,276,330
1956,38,183,331
1956,40,240,332
1956,42,336,333
1956,44,388,334
1956,46,452,335
1956,48,580,336
1956,50,787,337
1956,52,835,338
1957,2,1472,339
1957,4,1362,340
1957,6,2324,341
1957,8,3453,342
1957,10,4101,343
1957,12,3866,344
1957,14,3731,345
1957,16,3783,346
1957,18,3420,347
1957,20,2038,348
1957,22,1964,349
1957,24,1820,350
1957,26,1336,351
1957,28,771,352
1957,30,474,353
1957,32,378,354
1957,34,238,355
1957,36,113,356
1957,38,56,357
1957,40,43,358
1957,42,51,359
1957,44,46,360
1957,46,66,361
1957,48,68,362
1957,50,84,363
1957,52,58,364
1958,2,66,365
1958,4,57,366
1958,6,120,367
1958,8,242,368
1958,10,320,369
1958,12,372,370
1958,14,415,371
1958,16,725,372
1958,18,577,373
1958,20,785,374
1958,22,1145,375
1958,24,1049,376
1958,26,990,377
1958,28,1020,378
1958,30,1076,379
1958,32,779,380
1958,34,504,381
1958,36,317,382
1958,38,194,383
1958,40,242,384
1958,42,362,385
1958,44,543,386
1958,46,633,387
1958,48,785,388
1958,50,1194,389
1958,52,1283,390
1959,2,2069,391
1959,4,2285,392
1959,6,2838,393
1959,8,2980,394
1959,10,2845,395
1959,12,2622,396
1959,14,2764,397
1959,16,1667,398
1959,18,1313,399
1959,20,1392,400
1959,22,1259,401
1959,24,990,402
1959,26,746,403
1959,28,507,404
1959,30,313,405
1959,32,230,406
1959,34,158,407
1959,36,75,408
1959,38,49,409
1959,40,62,410
1959,42,51,411
1959,44,37,412
1959,46,35,413
1959,48,45,414
1959,50,39,415
1959,52,37,416
1960,2,34,417
1960,4,45,418
1960,6,78,419
1960,8,107,420
1960,10,185,421
1960,12,183,422
1960,14,156,423
1960,16,177,424
1960,18,218,425
1960,20,181,426
1960,22,236,427
1960,24,268,428
1960,26,268,429
1960,28,208,430
1960,30,302,431
1960,32,280,432
1960,34,194,433
1960,36,107,434
1960,38,102,435
1960,40,198,436
1960,42,356,437
1960,44,549,438
1960,46,603,439
1960,48,800,440
1960,50,1120,441
1960,52,1636,442
1961,2,2700,443
1961,4,2639,444
1961,6,4805,445
1961,8,6543,446
1961,10,6389,447
1961,12,5545,448
1961,14,5374,449
1961,16,4272,450
1961,18,2322,451
1961,20,1810,452
1961,22,1409,453
1961,24,1037,454
1961,26,767,455
1961,28,514,456
1961,30,375,457
1961,32,265,458
1961,34,199,459
1961,36,121,460
1961,38,86,461
1961,40,76,462
1961,42,89,463
1961,44,87,464
1961,46,73,465
1961,48,70,466
1961,50,59,467
1961,52,45,468
1962,2,54,469
1962,4,61,470
1962,6,93,471
1962,8,121,472
1962,10,142,473
1962,12,203,474
1962,14,255,475
1962,16,273,476
1962,18,227,477
1962,20,216,478
1962,22,132,479
1962,24,122,480
1962,26,138,481
1962,28,143,482
1962,30,265,483
1962,32,242,484
1962,34,208,485
1962,36,177,486
1962,38,128,487
1962,40,279,488
1962,42,380,489
1962,44,588,490
1962,46,770,491
1962,48,1025,492
1962,50,1560,493
1962,52,1481,494
1963,2,2473,495
1963,4,1697,496
1963,6,2091,497
1963,8,2300,498
1963,10,2211,499
1963,12,1999,500
1963,14,2486,501
1963,16,2625,502
1963,18,2434,503
1963,20,1469,504
1963,22,1447,505
1963,24,1525,506
1963,26,1159,507
1963,28,948,508
1963,30,960,509
1963,32,569,510
1963,34,358,511
1963,36,151,512
1963,38,88,513
1963,40,85,514
1963,42,65,515
1963,44,81,516
1963,46,104,517
1963,48,90,518
1963,50,78,519
1963,52,55,520
1964,2,76,521
1964,4,77,522
1964,6,135,523
1964,8,135,524
1964,10,160,525
1964,12,248,526
1964,14,291,527
1964,16,246,528
1964,18,210,529
1964,20,326,530
1964,22,414,531
1964,24,485,532
1964,26,565,533
1964,28,702,534
1964,30,741,535
1964,32,920,536
1964,34,607,537
1964,36,367,538
1964,38,309,539
1964,40,264,540
1964,42,432,541
1964,44,546,542
1964,46,785,543
1964,48,1102,544
1964,50,1374,545
1964,52,1476,546
1965,2,2214,547
1965,4,2030,548
1965,6,3194,549
1965,8,3593,550
1965,10,3344,551
1965,12,2629,552
1965,14,7098,553
1965,16,4789,554
1965,18,4045,555
1965,20,2483,556
1965,22,1950,557
1965,24,1628,558
1965,26,1339,559
1965,28,1023,560
1965,30,815,561
1965,32,712,562
1965,34,432,563
1965,36,256,564
1965,38,212,565
1965,40,242,566
1965,42,299,567
1965,44,431,568
1965,46,337,569
1965,48,284,570
1965,50,325,571
1965,52,413,572
1966,2,511,573
1966,4,454,574
1966,6,771,575
1966,8,824,576
1966,10,853,577
1966,12,810,578
1966,14,920,579
1966,16,1115,580
1966,18,984,581
1966,20,885,582
1966,22,1100,583
1966,24,1361,584
1966,26,1431,585
1966,28,1620,586
1966,30,1667,587
1966,32,1943,588
1966,34,1428,589
1966,36,804,590
1966,38,667,591
1966,40,793,592
1966,42,1583,593
1966,44,2089,594
1966,46,2581,595
1966,48,3904,596
1966,50,5025,597
1966,52,6222,598
